Country_Code,Informed_consent,gender,educ,polint,ideo,reldep3,reldep2,reldep1,issue1,issue2,collact3,collact1,collact2,mancheck1,mancheck3,mancheck4,mancheck6,mancheck8,age_1,finalflag,antielite,heartland,antiim,conditions
United Kingdom,"Yes, I agree",Male,Mid in country X,6.0,5.0,5.0,6.0,5.0,4.0,5.0,6.0,6.0,5.0,5.0,7: Fully applies,5.0,5.0,4.0,30.0,low quality response,0.0,0.0,0.0,control
United Kingdom,"Yes, I agree",Male,Highest in country X,6.0,7.0,7: Completely agree,5.0,5.0,4.0,6.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,30.0,sufficient/high quality response,0.0,0.0,0.0,control
United Kingdom,"Yes, I agree",Male,No education + [lowest categories in country x],4.0,7.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,34.0,low quality response,0.0,0.0,0.0,control
United Kingdom,"Yes, I agree",Male,Highest in country X,7: Very interested,6.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,53.0,sufficient/high quality response,0.0,0.0,0.0,control
United Kingdom,"Yes, I agree",Female,Highest in country X,7: Very interested,7.0,4.0,6.0,6.0,6.0,5.0,4.0,5.0,5.0,1: Does not apply at all,4.0,3.0,1: Does not apply at all,4.0,48.0,sufficient/high quality response,0.0,0.0,0.0,control
United Kingdom,"Yes, I agree",Male,Highest in country X,7: Very interested,7.0,7: Completely agree,6.0,7: Completely agree,4.0,5.0,1: Very unwilling,2.0,2.0,6.0,6.0,6.0,6.0,7: Fully applies,65.0,sufficient/high quality response,0.0,0.0,0.0,control
United Kingdom,"Yes, I agree",Male,Mid in country X,7: Very interested,8.0,6.0,2.0,6.0,1: Completely disagree,2.0,1: Very unwilling,1: Very unwilling,7: Very willing,2.0,5.0,1: Does not apply at all,1: Does not apply at all,1: Does not apply at all,55.0,sufficient/high quality response,0.0,0.0,0.0,control
United Kingdom,"Yes, I agree",Male,Highest in country X,5.0,5.0,2.0,2.0,2.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,39.0,sufficient/high quality response,0.0,0.0,0.0,control
United Kingdom,"Yes, I agree",Male,Mid in country X,6.0,5.0,2.0,2.0,3.0,5.0,3.0,7: Very willing,4.0,4.0,6.0,7: Fully applies,4.0,2.0,6.0,29.0,sufficient/high quality response,0.0,0.0,0.0,control
United Kingdom,"Yes, I agree",Male,Highest in country X,5.0,3.0,3.0,2.0,5.0,6.0,5.0,4.0,3.0,6.0,2.0,5.0,6.0,3.0,4.0,39.0,sufficient/high quality response,0.0,0.0,0.0,control
United Kingdom,"Yes, I agree",Female,Highest in country X,5.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,1: Very unwilling,5.0,3.0,3.0,4.0,3.0,5.0,54.0,sufficient/high quality response,0.0,0.0,0.0,control
United Kingdom,"Yes, I agree",Male,Highest in country X,7: Very interested,4.0,3.0,2.0,5.0,5.0,6.0,5.0,2.0,5.0,3.0,5.0,4.0,3.0,5.0,69.0,sufficient/high quality response,0.0,0.0,0.0,control
United Kingdom,"Yes, I agree",Female,Highest in country X,7: Very interested,7.0,6.0,3.0,4.0,6.0,5.0,5.0,4.0,7: Very willing,5.0,5.0,5.0,6.0,5.0,49.0,sufficient/high quality response,0.0,0.0,0.0,control
United Kingdom,"Yes, I agree",Female,Highest in country X,7: Very interested,5.0,4.0,4.0,4.0,7: Completely agree,7: Completely agree,4.0,7: Very willing,7: Very willing,6.0,4.0,4.0,4.0,7: Fully applies,40.0,sufficient/high quality response,0.0,0.0,0.0,control
United Kingdom,"Yes, I agree",Male,No education + [lowest categories in country x],5.0,6.0,7: Completely agree,5.0,6.0,6.0,7: Completely agree,1: Very unwilling,2.0,2.0,5.0,6.0,5.0,5.0,5.0,42.0,sufficient/high quality response,0.0,0.0,0.0,control
United Kingdom,"Yes, I agree",Male,Mid in country X,3.0,5.0,7: Completely agree,5.0,6.0,4.0,6.0,1: Very unwilling,1: Very unwilling,3.0,4.0,4.0,5.0,4.0,5.0,57.0,sufficient/high quality response,0.0,0.0,0.0,control
United Kingdom,"Yes, I agree",Male,No education + [lowest categories in country x],4.0,5.0,7: Completely agree,7: Completely agree,7: Completely agree,3.0,7: Completely agree,3.0,3.0,3.0,6.0,5.0,5.0,5.0,5.0,51.0,sufficient/high quality response,0.0,0.0,0.0,control
United Kingdom,"Yes, I agree",Male,No education + [lowest categories in country x],7: Very interested,3.0,4.0,3.0,5.0,7: Completely agree,6.0,7: Very willing,4.0,6.0,4.0,6.0,6.0,3.0,6.0,67.0,sufficient/high quality response,0.0,0.0,0.0,control
United Kingdom,"Yes, I agree",Female,Mid in country X,7: Very interested,,7: Completely agree,7: Completely agree,7: Completely agree,3.0,7: Completely agree,7: Very willing,7: Very willing,7: Very willing,7: Fully applies,4.0,2.0,5.0,4.0,39.0,sufficient/high quality response,0.0,0.0,0.0,control
United Kingdom,"Yes, I agree",Male,Mid in country X,7: Very interested,5.0,3.0,3.0,3.0,2.0,6.0,6.0,6.0,6.0,5.0,6.0,4.0,1: Does not apply at all,4.0,62.0,sufficient/high quality response,0.0,0.0,0.0,control
United Kingdom,"Yes, I agree",Male,Mid in country X,6.0,8.0,5.0,4.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,33.0,sufficient/high quality response,0.0,0.0,0.0,control
United Kingdom,"Yes, I agree",Female,No education + [lowest categories in country x],5.0,8.0,3.0,2.0,2.0,7: Completely agree,6.0,1: Very unwilling,1: Very unwilling,3.0,4.0,5.0,4.0,2.0,5.0,66.0,sufficient/high quality response,0.0,0.0,0.0,control
United Kingdom,"Yes, I agree",Female,No education + [lowest categories in country x],5.0,7.0,4.0,4.0,5.0,5.0,4.0,2.0,1: Very unwilling,4.0,4.0,5.0,4.0,3.0,4.0,65.0,sufficient/high quality response,0.0,0.0,0.0,control
United Kingdom,"Yes, I agree",Male,Mid in country X,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,33.0,sufficient/high quality response,0.0,0.0,0.0,control
United Kingdom,"Yes, I agree",Male,Highest in country X,7: Very interested,6.0,6.0,6.0,7: Completely agree,7: Completely agree,4.0,7: Very willing,5.0,7: Very willing,3.0,4.0,7: Fully applies,2.0,6.0,33.0,sufficient/high quality response,0.0,0.0,0.0,control
United Kingdom,"Yes, I agree",Male,Highest in country X,6.0,7.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,35.0,low quality response,0.0,0.0,0.0,control
